CustomerAge,HousingTypeId,MonthlyGrossIncomeAmount,MonthlyNetIncomeAmount,ChildBirthYears,InternalAssets_PensionIns,InternalAssets_Funds,InternalAssets_Accounts,InternalAssets_UnpaidEquities,InternalDebts_Overdrawn,InternalDebts_UsedCredit,InternalDebts_Blanco,InternalDebts_Mortgage,InternalDebts_UnpaidEquities,InternalDebts_CreditCard,ExternalAssets_PensionIns,ExternalAssets_Funds,ExternalAssets_Accounts,ExternalAssets_Other,ExternalDebts_Mortgage,ExternalDebts_Blanco,ExternalDebts_CreditCard,ExternalDebts_Other,Advices_ordered
54,2,47500,33487,1,1237236.13,192555.07,151230.83,0,4425.94,0,4987500,0,0,17052.57,0,0,1000000,0,0,0,0,0,2
50,2,40000,29863,0,2472726.52,106330.23,275966,0,0,0,4598635,0,0,27950.11,0,0,0,350000,0,0,0,0,2
54,1,69300,42973,0,285883.38,452930.5,211744.76,0,0,0,2756810,0,0,-0.27,0,0,0,0,0,0,0,0,1
49,3,23800,18654,1,81693.44,517.22,10755.28,0,0,0,0,0,0,5198.23,0,0,0,0,0,0,0,80000,7
72,1,17000,13744,0,0,2986939.38,1004365.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,1,29000,22408,0,0,18326.3,131287.77,0,0,0,1981880,0,0,0,0,0,0,0,0,0,0,0,1
50,1,35000,26602,0,235079.05,37229.69,261043.44,0,0,0,2793652,0,0,0,0,0,0,0,0,0,0,0,1
63,2,40000,29863,0,5046170.35,7952243.3,561610.6,0,0,0,0,0,0,0,3500000,0,2400000,0,0,0,0,0,1
90,3,22000,17354,0,508170,14173292.72,194213.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1,45000,32313,0,1858339.58,0,22551.09,0,0,0,0,0,0,0,0,0,45000,0,3500000,0,0,0,3
47,1,60100,39201,0,757234.31,0,336136.31,0,0,0,1394000,0,0,0,0,0,0,0,0,0,0,0,1
86,1,373000,175310,0,0,1491308.49,96766.98,0,0,0,745650,0,0,15787.72,0,0,0,0,0,0,0,0,7
30,1,23900,18698,0,0,0.24,63365.18,0,0,0,552200,0,0,8663.62,0,0,0,0,0,200000,0,0,7
36,2,65000,41269,1,11700,0,658969.72,0,0,0,11792176,0,0,0,0,2500000,0,0,0,0,0,0,2
38,2,32000,24532,0,254850.38,1419076.22,22681.58,0,0,0,443700,0,0,7651.3,0,0,200000,0,0,0,0,0,1
78,2,60000,39219,0,0,4084567.15,6046793.89,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,1
27,1,25000,19520,0,0,15616.09,106552.89,0,0,0,860200,0,0,0,0,0,0,0,0,0,0,70000,1
58,1,58000,38399,1,531519.83,39691.1,2141809.13,0,0,0,3400000,0,0,0,0,3500000,0,0,750000,0,0,0,2
